name,company,introduce,num,per,time
基金经理：王婷婷,国开泰富基金管理有限责任公司,"
                            ,王婷婷女士,现任固定收益投资部基金经理,国开泰富岁月鎏金定期开放信用债券型证券投资基金、国开泰富货币市场证券投资基金基金经理。中央财经大学经济法专业硕士,曾任益民基金管理有限公司益民货币市场基金、益民多利债券混合型证券投资基金基金经理,交易部副总经理;持有国家法律职业资格、银行间市场本币交易员资格、证券从业资格、会计从业资格。
                        ",7.80,2.83%,"
                            ,1年又281天,
                            ,2015-08-03
                            ,
                            ,
                            ,
                        "
基金经理：洪宴,国开泰富基金管理有限责任公司,"
                            ,洪宴先生,现任投资部总经理,国开泰富岁月鎏金定期开放信用债券型证券投资基金基金经理。北京大学光华管理学院商务统计与经济计量专业硕士,曾任光大银行资金部投资交易处处长,货币与债券交易副处长(主持工作),货币与债券交易业务副经理/经理;特许金融分析师(CFA)、加拿大证券业协会(CSI)衍生品交易资格(DFC)认证,曾获2010年及2012年全国银行间本币市场优秀交易主管。
                        ",10.05,32.91%,"
                            ,3年又299天,
                            ,2013-12-23
                            ,
                            ,
                            ,
                        "
基金经理：杜海涛,工银瑞信基金管理有限公司,"
                            ,杜海涛先生,18年证券从业经验;先后在宝盈基金管理有限公司担任基金经理助理,招商基金管理有限公司担任招商现金增值基金基金经理;2006年加入工银瑞信,现任投资总监兼固定收益部总监;2006年9月21日至2011年4月21日,担任工银货币市场基金基金经理;2010年8月16日至2012年1月10日,担任工银双利债券型基金基金经理;2007年5月11日至今,担任工银增强收益债券型基金基金经理;2011年8月10日至今,担任工银瑞信添颐债券型证券投资基金基金经理;2012年6月21日至今,担任工银纯债定期开放基金基金经理;2013年1月7日至今,担任工银货币基金基金经理;2013年8月14日至今,担任工银月月薪定期支付债券型基金基金经理;2013年10月31日至今,担任工银瑞信添福债券基金基金经理;2014年1月27日至今,担任工银薪金货币市场基金基金经理;2015年4月17日至今,担任工银总回报灵活配置混合型基金基金经理。
                        ",1761.54,110.71%,"
                            ,12年又42天,
                            ,2005-05-13
                            ,
                            ,
                            ,
                        "
基金经理：盛松,光大保德信基金管理有限公司,"
                            ,盛松先生:1993年2月至1996年5月任职于中国光大国际信托投资公司证券部,担任交易部经理职务;1996年5月至2002年7月任职于光大证券有限责任公司,担任资产经营部副总经理职务;2003年6月加入光大保德信基金管理有限公司,担任筹备组人员,并于2004年4月至2014年8月担任光大保德信基金管理有限公司督察长职务;2014年8月至今担任公司副总经理、首席投资总监。
                        ",29.24,-1.88%,"
                            ,274天,
                            ,2017-01-16
                            ,
                            ,
                            ,
                        "
基金经理：房雷,光大保德信基金管理有限公司,"
                            ,房雷先生:研究生学历、硕士学位,于2009年6月至2013年4月在江海证券先后担任研究发展部宏观策略分析师、投资部高级研究员,2013年5月至2015年6月在平安证券担任综合研究所策略研究组组长兼平安银行私人银行投资决策委员会委员,2015年6月加入光大保德信基金管理有限公司,担任策略分析师,2016年12月至今担任光大保德信红利混合型证券投资基金的基金经理。
                        ",25.63,8.72%,"
                            ,292天,
                            ,2016-12-29
                            ,
                            ,
                            ,
                        "
基金经理：韩海平,国投瑞银基金管理有限公司,"
                            ,韩海平先生,总经理助理兼固定收益部部门总经理,中国籍,中国科学技术大学经济学硕士。美国投资管理研究协会(CFA Institute)和全球风险协会(GARP)会员,拥有特许金融分析师(CFA)和金融风险管理师(FRM)资格。曾任招商基金管理有限公司基金管理部数量分析师,国投瑞银基金管理有限公司固定收益组副总监、基金经理,融通基金管理有限公司固定收益部总监、基金经理。2015年7月加入国投瑞银基金管理有限公司,2016年11月26日起担任国投瑞银和顺债券型证券投资基金基金经理。曾于2014年3月21至2015年6月22日任融通通瑞债券型证券投资基金基金经理,于2013年12月19日至2015年6月22日任融通债券投资基金基金经理,于2013年12月10日至2015年6月22日任融通通福分级债券型证券投资基金基金经理,于2013年5月30日至2015年6月22日任融通通泰保本混合型证券投资基金基金经理,于2011年3月29日至2012年9月14日任国投瑞银双债增利债券型证券投资基金基金经理,于2009年1月19日至2012年2月14日任国投瑞银货币市场基金基金经理,于2008年4月3日至2012年9月14日任国投瑞银稳定增利债券型证券投资基金基金经理,于2007年11月1日至2008年3月28日任融鑫证券投资基金基金经理(现国投瑞银成长优选混合型证券投资基金)。
                        ",1.96,36.80%,"
                            ,7年又220天,
                            ,2007-11-01
                            ,
                            ,
                            ,
                        "
基金经理：王维诚,光大保德信基金管理有限公司,"
                            ,王维诚先生:博士,2010年9月至2011年9月在东吴基金任职宏观策略助理分析师;2011年9月至2013年9月在中国银河证券任职策略分析师;2013年9月至2015年6月在川财证券任职宏观策略部总监,2015年6月加入光大保德信基金管理有限公司,担任策略分析师,2016年4月起担任光大保德信优势配置混合型证券投资基金的基金经理。
                        ",40.77,32.27%,"
                            ,1年又174天,
                            ,2016-04-26
                            ,
                            ,
                            ,
                        "
基金经理：林聪,国开泰富基金管理有限责任公司,"
                            ,林聪先生:毕业于中国人民银行研究生部,获硕士学位。历任国信证券研究所首席经济学家助理,长盛基金管理有限公司高级行业研究员,专户投资经理和社保组合经理(股票组合)等职务。2015年10月加盟国开泰富基金管理责任有限公司,现拟任本基金基金经理。
                        ",0.79,4.50%,"
                            ,96天,
                            ,2017-07-13
                            ,
                            ,
                            ,
                        "
基金经理：邓钟锋,国海富兰克林基金管理有限公司,"
                            ,邓钟锋:中国国籍,金融学硕士研究生,已取得基金从业资格。2006-07-2009-04任深圳发展银行北京分行产品研发及审查;2009-05-2010-05任中信银行厦门分行信贷审查;2010-11-2011-10任上海新世纪资信评估投资服务有限公司债券分析员;2011-10-2014-10任农银汇理基金管理有限公司研究员;2014-10-2016-06任国海富兰克林基金管理有限公司投资经理;2016-06-2016-09任国海富兰克林基金管理有限公司基金经理。曾任富兰克林国海金融地产灵活配置混合型证券投资基金、富兰克林国海新机遇灵活配置混合型证券投资基金、富兰克林国海新增长灵活配置混合型证券投资基金、富兰克林国海新价值灵活配置混合型证券投资基金基金经理。
                        ",23.49,15.12%,"
                            ,1年又110天,
                            ,2016-06-29
                            ,
                            ,
                            ,
                        "
基金经理：张明,安信基金管理有限责任公司,"
                            ,张明先生:管理学硕士。2011年7月-2011年12月在安信证券股份有限公司安信基金筹备组任研究部研究员,2011年12月加入安信基金管理有限责任公司,历任研究部研究员、特定资产管理部投资经理。现任安信基金管理有限责任公司权益投资部基金经理。
                        ",22.43,17.46%,"
                            ,165天,
                            ,2017-05-05
                            ,
                            ,
                            ,
                        "
